,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,ASM,American Samoa,37.79141407265634,37.586407794156564,37.38140712036673,37.108066536538274,37.1764019627173,37.51807915946755,37.51807915946755,37.51807915946755,37.51807915946755,37.31308125903866,36.971406501587886
1,AGO,Angola,33995.79230214349,33472.816978319526,33251.886077440155,33300.76876690774,33264.79127562828,33186.49536271972,32832.11130040515,32849.14918372882,32537.370429395043,32657.632071404267,32535.046197625794
2,AIA,Anguilla,4.960434848988889,3.55269785541562,3.3515986332310095,3.5526711730702183,4.491180766191127,5.5637820470345085,5.429707865814671,5.16157184494661,4.357148191182736,3.95490054842705,4.088976729051387
3,ATG,Antigua and Barbuda,996.9509959602815,915.5132103498871,913.2275275998963,924.1856239145521,974.8356371432103,979.9523323247148,1002.677192006475,1014.5016136867532,1024.5841276205135,1020.0056142347124,1007.6208971164987
4,ABW,Aruba,63.82047902369579,53.56303597646484,49.432537198742004,48.675285912530654,49.08834346190948,50.74051617707196,50.74051617707196,50.74051617707196,47.57380324647004,47.57380324647004,50.18977771903472
5,AUS,Australia,1235171.5596290228,1204480.95117741,1184127.1733370933,1183915.7430215483,1175646.7385167812,1163146.9854765753,1155365.9760520072,1159189.603301843,1165840.1341387285,1169059.9882072373,1161956.492142728
6,BHS,Bahamas,195928.74991421116,183784.2388926098,174961.40853667547,174669.85550884675,169160.7980656204,165973.29482337608,166115.14576291447,167236.64237629075,167836.55396289445,170112.8534783413,173649.8986402931
7,BHR,Bahrain,74.33568351254391,99.24473932640055,104.77036690865272,106.5488538195967,97.34932350895168,68.74132382897088,66.4552802128546,66.96519281153776,68.74561044688541,67.85597430662365,67.65975092096956
8,BGD,Bangladesh,515548.0677380373,521315.60753465473,520539.2503035931,519499.6282828704,519209.3224259057,516924.9403238282,517595.7171123811,516265.4213448173,519511.7729710529,518653.0281817591,519996.64648827806
9,BRB,Barbados,11.333602160055339,11.951818738768294,12.295275246555308,12.089209019588758,12.707406615223578,11.745739254197579,11.058835339228139,10.852765918267307,10.852762784556408,11.470967973357153,12.570013562294466
10,BLZ,Belize,63645.92291344463,61824.40978139399,60821.749468716975,60372.55096864363,59919.652900630645,59526.82656026967,59306.62486315062,59604.69111383174,60451.84622213372,60829.25294366045,60570.55739056031
11,BEN,Benin,3375.5008095908915,2593.78673497238,2431.8497090433193,2652.231646807761,3046.3224361788393,3285.8279515730696,3429.974526351771,3413.238098294126,3400.3985621104857,3366.1416003426875,3305.116463556968
12,BMU,Bermuda,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572,24.276543207149572
13,BES,"Bonaire, Sint Eustatius and Saba",287.19930459151544,247.35278881500886,236.39134381095903,231.49664531966516,223.08618074215275,216.33029612040022,211.78034941545866,213.8484423748571,212.3317608994351,210.40148801918156,213.29692594556616
14,BRA,Brazil,1330213.5001527255,1316633.4411694168,1311677.0582849376,1311549.2420414446,1306191.5925384036,1299737.0186732227,1305789.9320884694,1316691.6788243188,1320044.6417180216,1319629.8770945745,1318738.8538444857
