,region,name,2007_area_gain,2008_area_gain,2009_area_gain,2010_area_gain,2015_area_gain,2016_area_gain,2017_area_gain,2018_area_gain,2019_area_gain,2020_area_gain
0,ASM,American Samoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AGO,Angola,193.6597153959798,301.0877451946416,311.433964305315,305.23444594246905,321.9657717293073,299.5232154857156,333.4412497625433,311.8004013642038,326.00711546890926,331.1164923676777
2,AIA,Anguilla,0.0925569699038436,0.0925569699038436,0.2313919071464267,0.5553404390787908,0.7867332664038353,0.6478980415990581,0.46278467694657094,0.3239493946394882,0.18511434238407795,0.18511445740306723
3,ATG,Antigua and Barbuda,7.199167244074802,20.76351922660841,26.33245134862957,41.33207577176955,34.87798158374082,37.382202176337145,41.46243186366909,49.213368208800134,52.83273672350121,55.756483538601245
4,ABW,Aruba,0.3801825434310165,0.3801825434310165,0.427706973511552,0.4752324379343287,0.6178058873179365,0.6178058873179365,0.6178058873179365,0.5227596141491794,0.5227596141491794,0.5227596141491794
5,AUS,Australia,15087.317626508697,22475.484417738764,23663.37477522635,21820.36782695038,19811.19447847604,18900.451128640263,20217.0925458812,21543.113818558722,22134.9757582511,21595.856478890273
6,BHS,Bahamas,240.38761067936002,547.2794168768773,843.6364042787549,791.970986613116,652.5111457786938,521.1472658934636,653.912957679577,756.5344619562944,954.6986605466204,1077.2086112662696
7,BHR,Bahrain,20.9720298588568,25.093750139596615,26.36527295243884,20.36376779835626,2.1905893653979245,0.9197658037664936,0.9203864698169975,1.6663167238626417,1.2717857773873118,1.6200844107704573
8,BGD,Bangladesh,12497.237441658839,14699.35474597845,15450.108207057594,16476.459872736355,18990.350805062917,20533.83630246197,19947.263494546238,21799.61101598152,21910.741254597473,23105.139623600284
9,BRB,Barbados,0.4267781667850696,0.8535500102546753,0.7112947398376492,0.9483889094635469,0.47419295710659554,0.18967459511095863,0.14225493742287357,0.1896726397217848,0.42676360590616913,0.9483790911558848
10,BLZ,Belize,477.05394778834085,740.5578549817589,719.6178742147456,622.0879496611174,548.7349037302449,529.2863506241645,597.7806953710049,830.7996000783397,948.0469523938641,922.500996651571
11,BEN,Benin,81.04187039156258,170.40254269680872,279.4003294727952,360.49541477865057,405.32292634314365,422.7286432762572,427.2252883809593,411.7501852928364,404.3042093343051,422.29149705509036
12,BES,"Bonaire, Sint Eustatius and Saba",0.4759191242074749,0.5711029800278619,0.5711019381289323,0.47591727212963336,0.5235086405162146,0.571099661066895,0.7138709866610689,0.5710969206355334,0.5235064789329933,0.6662830150131184
13,BRA,Brazil,18336.650578555287,25854.43686865941,27292.56561998876,26505.67127186779,31561.173668537227,39247.14581836754,47524.8063640421,52955.6604560128,56669.423510734836,56988.80531389515
14,VGB,British Virgin Islands,3.0010547015519116,4.524220209099653,6.370846873123246,8.309951837506581,8.955930387835865,10.385479355452075,13.197935114460657,13.474578225325214,11.398787207257435,14.16727941810269
15,BRN,Brunei,79.50004597036975,115.76044017217164,138.2536497564636,138.20543134598967,143.82897824372986,132.38824589726624,133.45472643533338,148.6280402536591,193.95358841587347,199.14032364681265
16,KHM,Cambodia,132.40959772995961,274.3846273407687,261.9907864097553,280.2944802398679,297.66816937847614,336.25933511123606,367.0476785529281,384.1200671212765,489.1357748317251,650.0824019122188
17,CMR,Cameroon,1333.6283356120448,1814.3577337988713,1924.5460004967308,2159.309429746417,2552.981007227004,2481.98351862773,2369.194682557163,2407.454415841182,2671.870757216734,2744.988243734036
18,CYM,Cayman Islands,16.823768790654118,22.24595726764718,20.177885595665884,18.33893638483282,15.672635018848744,14.155485421231464,13.512228900587106,14.800832887012994,20.455848250880962,20.502167515860467
19,CHN,China,1723.7709213099836,2603.9444819492364,2395.474527141993,1698.4367766698322,1304.0297829985886,1325.520754144572,1500.197467661861,1766.7870617646056,2150.2916031113846,2197.574781504287
20,COL,Colombia,3595.572158042333,5379.711830479475,5599.584503849363,5675.847629832078,5845.366281596631,5858.328816547711,6097.643603865961,6792.529183999836,7041.094720393636,6382.775553660998
21,COM,Comoros,1.0938200751139333,1.9974281400853549,2.2354684674923533,1.522188466432222,0.7136803937820222,0.6185710573418274,0.9512853657646831,1.9975326032450897,1.8548860650094672,0.570916309064609
22,CRI,Costa Rica,944.5058752742373,1244.4210167906208,1353.5703934650228,1389.5994000687256,1436.564031438032,1461.8389375554366,1484.8454983419915,1403.4928032680723,1301.9345106755668,1331.4851996028983
23,CUB,Cuba,3855.490471568669,5459.472471286668,5796.809865010644,5635.225234599411,4994.420100979838,4865.6969106756205,5128.2435818830145,6080.92555935842,6956.77527167134,7134.714405979783
24,CUW,Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,CIV,Côte d'Ivoire,124.69727186263344,208.68616552558524,226.9106262021691,214.89385038496164,167.20600835979263,146.80150947179595,145.49212896146423,157.41696249682047,169.29130102296597,178.16195523532477
26,COD,Democratic Republic of the Congo,162.77756791396422,219.14868389513,209.276905916624,170.5172662553483,172.5507133082418,182.4227767507389,204.72944406997354,228.24597582333868,297.5875412093349,307.84623064560833
27,DJI,Djibouti,7.4319684543675795,9.528534217429117,11.388783673874752,12.723559839055037,21.497082211105635,25.645352627283707,25.072747217002494,26.025021575032625,26.30970599368414,26.976986412858746
28,DMA,Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09380321910139768,0.1407048286520965
29,DOM,Dominican Republic,265.7612925311753,321.44752319056784,341.64456118592426,322.85429383220696,306.61553288070934,293.1553830364369,286.58729939529974,298.7984062144242,305.6844311134383,316.44567576656294
30,ECU,Ecuador,2779.385956137283,4339.0101510936,4258.072707703828,4382.471018353044,5096.897880085879,5508.941202906448,5476.386250939765,5447.032044151881,6028.611434517477,6250.108113932196
31,EGY,Egypt,0.9152222228051659,1.4326736071016162,1.389004054293623,1.302989799752423,1.34732681845709,1.0892863906914725,1.264155274129066,1.305799679354563,1.3064990914202008,1.0893780725805917
32,SLV,El Salvador,415.17801628880875,701.0779981287246,704.9560973616298,575.8678292214122,333.7377115146667,249.79506171447684,386.5704573184708,400.69226662462245,329.3854346107355,371.07656445275717
33,GNQ,Equatorial Guinea,80.49151849149229,139.1952661720645,188.1235995054295,186.22685441620453,171.733318682827,142.8435206341316,138.75792305852605,113.75836661465998,116.77338605384155,136.6169959002176
34,ERI,Eritrea,67.61890909347869,100.63177774242672,110.23984223948915,120.89360782835229,134.04370623252822,145.08636885387762,157.07292638506706,163.44874046619373,146.72724855433603,127.92269287009172
