,region,name,1996_area,2007_area,2008_area,2009_area,2010_area,2015_area,2016_area,2017_area,2018_area,2019_area,2020_area
0,ASM,American Samoa,32.59926676415883,32.4619647726333,32.32466653483593,32.14159796347782,32.187365293994645,32.41620199068499,32.41620199068499,32.41620199068499,32.41620199068499,32.27890561033307,32.050070547352085
1,AGO,Angola,29325.12395503002,28980.640434786033,28835.877511424398,28868.925084027494,28844.644400679434,28792.705165694904,28554.688658468847,28567.111453936122,28357.653565921766,28438.622012606138,28356.673109211417
2,AIA,Anguilla,4.278922683272128,3.338858362975521,3.204173104054484,3.3429818496448664,3.9812074155088806,4.7064793817666715,4.612542463401273,4.427437810801921,3.8845374820299545,3.610992653324238,3.7007895485897744
3,ATG,Antigua and Barbuda,859.9802962022017,805.6524685723581,804.5262592041419,812.0315103793228,846.4015478581787,849.6359089222204,864.9304761830899,872.9715376624254,879.9554594382223,876.9969850555584,868.7895924624295
4,ABW,Aruba,55.05220886177929,48.19367519057756,45.427293046941394,44.921545180210515,45.19960618668856,46.31039397215886,46.31039397215886,46.31039397215886,44.186667700670455,44.186667700670455,45.938704308970976
5,AUS,Australia,1065471.831629146,1045366.985858693,1031955.523082055,1031849.3526286394,1026256.2500106487,1017824.6668079137,1012586.2054260013,1015186.3363742683,1019680.052508992,1021854.1895002108,1017080.5748144201
6,BHS,Bahamas,169010.1770984772,160883.61852729146,154983.72374797615,154797.29761651528,151106.09113944412,148967.11582623507,149058.20132611186,149813.27872739887,150218.1278266182,151748.57983963285,154121.15360642967
7,BHR,Bahrain,64.12273359929266,81.43103884815648,85.25475022151976,86.48381218067357,80.14344894584336,60.441281368290184,58.87230654950464,59.21383663002743,60.42851359418232,59.82091536556127,59.699885199864056
8,BGD,Bangladesh,444717.1243083783,448952.69155012,448498.4176887927,447824.5302202404,447660.7146481943,446205.7482241641,446701.0390072013,445792.58257879666,448022.06566042954,447450.24031744717,448385.7504999611
9,BRB,Barbados,9.77648307904455,10.20326124582962,10.446019957823987,10.30376468740696,10.724871988508097,10.066654832336603,9.59811716355915,9.458688639421924,9.4601009802508,9.881213271282524,10.632853344162381
10,BLZ,Belize,54901.63494590382,53695.91529954974,53032.24841987192,52730.77520943278,52424.539601901735,52159.257932404806,52011.19874282224,52212.870355677755,52787.19931228453,53043.46310351616,52869.440953199744
11,BEN,Benin,2911.7420994866998,2390.61019891768,2284.8192083667486,2435.67030942347,2702.0297777662995,2863.774646950823,2960.835339302416,2949.7603273061764,2940.6994959011613,2917.5339480774533,2877.199198769212
12,BMU,Bermuda,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052,20.94119861723052
13,BES,"Bonaire, Sint Eustatius and Saba",247.7411066667089,221.0682863601555,213.72974935920124,210.45154801794922,204.81583959764356,200.2925372438652,197.24665143190776,198.6360057487108,197.6159566000019,196.32174581813146,198.2652106935978
14,BRA,Brazil,1147455.997846341,1138907.7876810501,1135812.524277003,1135769.818406003,1132158.085278303,1127985.9671584754,1132269.1450852964,1139817.456024758,1142225.0860552874,1142058.0785657233,1141470.8468857987
15,VGB,British Virgin Islands,91.94134726180998,85.80862186530335,84.73480890717224,88.14910233664438,90.75990817880188,92.65977281475428,94.71616706195265,95.78215262331969,96.95401381393123,94.20564106448512,97.37634038141324
16,BRN,Brunei,11462.156551419312,11477.50817799868,11463.118017461395,11494.406714106392,11482.4599812622,11445.753672331553,11413.900766487623,11416.89522648304,11458.734954137812,11523.814887643386,11497.115669689374
17,KHM,Cambodia,64655.7738698532,62989.2590543005,62369.156969990974,62157.86593900515,62053.23681790269,61703.17629627009,61661.513123647,61731.22367456478,61878.64591289797,62181.456042911406,62691.87531917784
18,CMR,Cameroon,196355.8808257695,197085.04976892006,197023.25064230326,197034.38934274804,197200.99341683232,197568.18041424756,197159.74515698702,196893.2128529168,196876.61711598872,197251.72526215218,197000.54794474106
19,CYM,Cayman Islands,4683.590746331894,4565.352906571464,4528.8129146582305,4521.707492602274,4509.881901901724,4486.478002954883,4477.603302761318,4478.657033115567,4484.54041225965,4494.075755023743,4488.500601908411
20,CHN,China,24499.185087696205,22504.190880998085,21899.72792259135,21370.681702335318,21134.18474645044,21580.745123166176,22008.996903528623,22095.317107268093,21822.014168493042,21790.032471214836,21580.662907690617
21,COL,Colombia,288023.58690658404,279687.1461779882,278477.8945038597,279253.3613759689,279986.81943428743,279014.7139875827,278275.36790975375,278260.87455176405,279815.9086668092,281039.775740964,280754.218414776
22,COM,Comoros,96.69653054701752,97.6058288357339,98.18646610705783,98.23993335669915,97.06528603176356,95.51836642163278,95.10009302219073,95.84787068197353,97.77127389921182,97.90541070775751,96.94435864631504
23,COK,Cook Islands,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936,3.2715375474573936
24,CRI,Costa Rica,37939.132408262856,38275.94310733665,38258.03588055861,38292.87204138342,38247.88453100796,38132.19279899051,38108.84609705878,38113.64635521166,37928.40353192589,37471.32225489801,37110.85460292018
25,CUB,Cuba,388882.38535378524,373721.9715503198,368800.72631942015,368908.3092647947,366130.73214560683,358755.821156766,356146.0884770642,357097.77922087855,359368.4466466351,359971.53383004304,359694.10705316596
26,CUW,Curaçao,44.53385163526644,44.53385163526644,44.53385163526644,44.48767528659412,44.441497780130355,44.441497780130355,44.39532046036029,44.44149792948612,44.44149792948612,44.44149792948612,44.44149792948612
27,CIV,Côte d'Ivoire,5784.565314301697,5789.861703371058,5796.308226401212,5802.743010259452,5770.795156088068,5565.264648771896,5448.465788828173,5402.157839766002,5411.30960746234,5434.892451381151,5447.717556105423
28,COD,Democratic Republic of the Congo,23799.717434297825,23806.63713649381,23737.429441314944,23727.9335039568,23645.93664304965,23635.90540614585,23615.77910872528,23632.63970221242,23658.6446566676,23719.442439478236,23683.88331894822
29,DJI,Djibouti,888.8133670721635,741.1431490803453,692.4438379774807,682.0773200746538,684.3515720341264,718.2885505259136,735.2608807877449,732.4414690574766,737.8812153147975,742.2772595155127,750.1043481715081
30,DMA,Dominica,1.2893329174945722,1.2438303528455517,1.2438303528455517,1.2438303528455517,1.198327788196531,1.198327788196531,1.198327788196531,1.2438303528455517,1.2438303528455517,1.38313613659597,1.4300377461466687
31,DOM,Dominican Republic,19641.502064603515,19618.290879785978,19505.790538666206,19474.68651348677,19276.141727653096,19111.65739075525,19006.97194522783,19014.681634586523,19077.218679819052,19147.45058064115,19184.403131982195
32,ECU,Ecuador,159400.57380830654,154682.40251893783,152332.969252986,151681.08411740875,151402.8032190083,152142.21626647643,152308.80506721075,152326.04441502606,152511.06046447848,153487.55200906136,153542.88347444026
33,EGY,Egypt,293.9134990137633,217.7532178792224,202.60542458531523,202.4280801654024,201.5678920136894,198.62321932392672,200.23235122959306,201.7934994890775,204.89158245361003,206.99305247051552,223.5362156512337
34,SLV,El Salvador,37637.91274597813,37816.92535268941,37969.54431222247,37981.92024358499,37867.215547435844,37584.68782884852,37498.71514083886,37658.65731088927,37654.80614102179,37441.16541830597,37305.62901921836
35,GNQ,Equatorial Guinea,25633.730648933877,25666.425170386596,25653.64658045432,25721.684799747185,25730.169002816867,25701.332592393162,25589.49577920775,25549.692699399093,25527.61867620523,25575.45969706828,25594.503030651063
36,ERI,Eritrea,9336.638148017817,8225.382337380106,7759.408785331973,7815.902274518212,7805.333104455319,7849.24616079494,7824.652449635903,7919.187096926066,7945.086077352396,7851.960311438301,7791.29702248319
37,FJI,Fiji,48572.40268402349,48537.996960468474,48635.74391880084,48753.827736425446,48771.62501162987,48961.21933879496,48782.92699501968,48802.8767576683,48734.729333848125,48870.55772482496,48814.35366684153
38,GUF,French Guiana,59444.049010256225,58661.14344922448,59142.36950182295,59759.76006789309,60045.21988421772,61712.326064594585,62538.45468047248,63001.812287485096,62910.001258545344,62560.851591234285,62969.908283143115
39,PYF,French Polynesia,122.2171475732874,121.01253458894591,120.4762783873993,120.20465166917383,119.75013847019957,119.97672564269638,120.57871355527593,120.68060191945949,121.27729091077843,124.4573081699892,125.20144936970146
40,ATF,French Southern Territories,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925,672.3017576233925
41,GAB,Gabon,175945.5758753236,175712.600424281,175471.05595741223,175659.81210943212,175568.3113457623,175290.7888793239,174799.7126558413,174884.60401289695,174983.48895146645,175036.3794426547,174700.58505164424
42,GMB,Gambia,60772.07795810026,61441.78292909797,61367.338788741356,61458.29683759795,61372.755985695854,60955.925184129,60636.9173778782,60798.23285968081,61122.38590131899,61215.7475080244,60971.57662852515
43,GHA,Ghana,18067.123860019117,15335.024889377457,15683.609646899688,16410.42706324814,17603.976685144396,18297.88081285481,18383.50368675589,18201.14210818679,17950.46326082078,17974.071208972146,17952.379514409044
44,GRD,Grenada,193.80015542622024,194.36941360270814,194.11901896951204,193.88859522562024,193.61915705536887,192.6208672881472,191.86925153733702,190.1439066607897,191.73447708946574,192.68734411785528,193.00192965662168
45,GLP,Guadeloupe,3416.787307052749,3424.094689060611,3428.747983941783,3440.94604967452,3432.1735801247323,3428.6411462185333,3431.3856214522975,3431.5387778700347,3432.365461664556,3426.3238462487993,3420.3356566222737
46,GUM,Guam,51.83359453908472,51.83359453908472,51.83359453908472,51.83359453908472,51.83359453908472,51.93817814436809,51.81168238579426,50.79545566171441,51.178659897993825,51.879165773691774,52.21371150820512
47,GTM,Guatemala,25000.048652658294,24554.35789316355,24536.935189894353,24702.06727776382,24714.95321236727,24689.660876496222,24754.169409240236,24890.563082890756,24969.32356966515,24960.992383652505,24964.617740293652
48,GIN,Guinea,227875.1767458623,227700.10638135963,225391.0919715118,226267.06107282825,225484.15870486494,224680.59370024607,222891.77825517792,223029.19102753623,222773.77629384026,221774.71925664516,221145.4777901374
49,GNB,Guinea-Bissau,274292.2613363412,274987.0948247245,272252.1058159426,271041.87725876126,270998.3263529463,271373.85161290405,269939.9759203623,268984.5281138473,269777.924263494,270707.6193063112,268831.71306588803
50,GUY,Guyana,30807.82650512457,30400.353679397904,30212.557523373554,30080.94093200322,30018.20663345708,29564.427306671296,29621.49036544239,29518.519298395047,29262.973053063655,29042.085578637638,28859.27311940773
51,HTI,Haiti,16680.548298609563,15871.544129456752,15694.704886609414,15702.09090216783,15513.180162448536,15236.818466822375,15090.687011901242,15138.468241582248,15315.75293231523,15416.713294720623,15401.114467691827
